layer,bias_capture
1,0.9193457961082458
2,0.8037973046302795
3,0.8173617720603943
4,0.7743449807167053
5,0.8266645669937134
6,0.7922318577766418
7,0.7984974384307861
8,0.7998393177986145
9,0.77635657787323
10,0.6712898015975952
11,0.29636862874031067
12,0.4356221556663513
13,0.2428097277879715
14,0.3865280747413635
15,0.2588195502758026
16,0.23379017412662506
17,0.24857868254184723
18,0.2880374491214752
19,0.4485921561717987
20,0.5503408908843994
21,0.5403493642807007
22,0.4115692973136902
23,0.5023035407066345
24,0.38826775550842285
